Guid ID,English,Chinese,Japanese
ecae499e-312c-4999-967f-1ec06d4218f2,"I am a random Npc.
You?","我是一个随机的路人NPC。
你呢？","私はただのランダムNPCだよ。
あなたは？"
fd0c003e-3b4c-414e-9156-f6e3ee055089,Continue,继续,続ける
3e8560d0-a356-48f8-8905-460a0f639fb4,I am supposed to be the player!,我才是玩家！,私はプレイヤーのはずなんだけど！
a410c26c-1276-4a85-811f-60f54d8d9da8,Continue,继续,続ける
ad7c2249-f94e-4b82-bb14-d162221e6f84,Is it any fun to be the player?,当玩家有意思吗？,プレイヤーって楽しいの？
a9c660f4-2cb6-41fb-a16a-689a7695820f,Yes!,有！,もちろん！
a4db2f92-36dc-4ff1-bbab-c7b12d9580a7,No...,没意思...,全然楽しくないよ...
29db7eae-38fb-47a0-986d-5ef7d0070ba6,Yes it is really fun!,当然有意思，超好玩的！,うん、本当に楽しいよ！
52a19b29-8980-4f21-aa87-695cbfcefb6e,Continue,继续,続ける
ea8b4c41-f99d-439c-aaca-ae208044adaf,wow i hope one day I an become the player.,哇，真希望有一天我也能当上玩家。,わあ、いつか私もプレイヤーになれるといいな。
acebfd81-8c6c-4320-8633-8259e2c78e79,End,结束,終了
fa850dc7-a2aa-4a59-bcb4-ad5296faa57e,Sucks to be you...,呵呵，可怜你了......,あなたって可哀想ね...
5f9d544c-57fa-486f-979a-9e68e167081c,End,结束,終了
8f086cf9-3834-438f-b6f8-466b0fc56ec3,No not really...,呃......其实也没那么惨啦……,いや、別にそんなことないよ…
7675aafc-2f73-43a7-aba7-48ccdd22c7da,Continue,继续,続ける
4f2183f5-4cde-4762-abc2-02b6f1a3c908,Yes?,嗯？怎么了？,ん？どうしたの？
6d65c924-2c5b-479c-8d75-4c8d7424e9a9,Who are you?,你是谁啊？,誰なの、あなたは？
8374fde7-bdcf-47b7-8927-157cd4fd9cf7,I want to color stuff,我想给东西涂色,色を塗りたいの！
aad60dea-3853-4879-aaae-47fd251789c4,Bye,拜拜,じゃあね
c7174e3e-bfa8-4dc1-83c8-deb69cff5d49,What do you want to color?,你想涂什么颜色啊？,何に色を塗りたいの?
29700375-a667-4c2a-8639-f4256a84cc79,Color Player,给玩家涂色,プレイヤーに色を塗る
f81542df-fb68-4751-856e-8bd97d4f7593,Color NPC,给NPC涂色,NPCに色を塗る
e607fac8-5a24-4f36-8fb0-c1d7c1096e7b,Go back,返回,戻る